relationship_id,source_entity_id,target_entity_id,relationship_type,start_date,end_date,legal_basis_source_ids,description,evidence_status
rel-dcms-ace-sponsor,dcms,ace,sponsorship / accountability,,,doc-dcms-framework-index,DCMS is the sponsor department within the relevant framework architecture; institution-specific powers must be read from the individual framework and upstream law.,verified at family level; institution detail pending/partly researched
rel-dcms-bbc-sponsor,dcms,bbc,sponsorship / accountability,,,doc-dcms-framework-index,DCMS is the sponsor department within the relevant framework architecture; institution-specific powers must be read from the individual framework and upstream law.,verified at family level; institution detail pending/partly researched
rel-dcms-bfi-sponsor,dcms,bfi,sponsorship / accountability,,,doc-dcms-framework-index,DCMS is the sponsor department within the relevant framework architecture; institution-specific powers must be read from the individual framework and upstream law.,verified at family level; institution detail pending/partly researched
rel-dcms-british-museum-sponsor,dcms,british-museum,sponsorship / accountability,,,doc-dcms-framework-index,DCMS is the sponsor department within the relevant framework architecture; institution-specific powers must be read from the individual framework and upstream law.,verified at family level; institution detail pending/partly researched
rel-dcms-museum-home-sponsor,dcms,museum-home,sponsorship / accountability,,,doc-dcms-framework-index,DCMS is the sponsor department within the relevant framework architecture; institution-specific powers must be read from the individual framework and upstream law.,verified at family level; institution detail pending/partly researched
rel-dcms-historic-england-sponsor,dcms,historic-england,sponsorship / accountability,,,doc-dcms-framework-index,DCMS is the sponsor department within the relevant framework architecture; institution-specific powers must be read from the individual framework and upstream law.,verified at family level; institution detail pending/partly researched
rel-dcms-horniman-sponsor,dcms,horniman,sponsorship / accountability,,,doc-dcms-framework-index,DCMS is the sponsor department within the relevant framework architecture; institution-specific powers must be read from the individual framework and upstream law.,verified at family level; institution detail pending/partly researched
rel-dcms-iwm-sponsor,dcms,iwm,sponsorship / accountability,,,doc-dcms-framework-index,DCMS is the sponsor department within the relevant framework architecture; institution-specific powers must be read from the individual framework and upstream law.,verified at family level; institution detail pending/partly researched
rel-dcms-national-gallery-sponsor,dcms,national-gallery,sponsorship / accountability,,,doc-dcms-framework-index,DCMS is the sponsor department within the relevant framework architecture; institution-specific powers must be read from the individual framework and upstream law.,verified at family level; institution detail pending/partly researched
rel-dcms-rmg-sponsor,dcms,rmg,sponsorship / accountability,,,doc-dcms-framework-index,DCMS is the sponsor department within the relevant framework architecture; institution-specific powers must be read from the individual framework and upstream law.,verified at family level; institution detail pending/partly researched
rel-dcms-nml-sponsor,dcms,nml,sponsorship / accountability,,,doc-dcms-framework-index,DCMS is the sponsor department within the relevant framework architecture; institution-specific powers must be read from the individual framework and upstream law.,verified at family level; institution detail pending/partly researched
rel-dcms-npg-sponsor,dcms,npg,sponsorship / accountability,,,doc-dcms-framework-index,DCMS is the sponsor department within the relevant framework architecture; institution-specific powers must be read from the individual framework and upstream law.,verified at family level; institution detail pending/partly researched
rel-dcms-natural-history-sponsor,dcms,natural-history,sponsorship / accountability,,,doc-dcms-framework-index,DCMS is the sponsor department within the relevant framework architecture; institution-specific powers must be read from the individual framework and upstream law.,verified at family level; institution detail pending/partly researched
rel-dcms-armouries-sponsor,dcms,armouries,sponsorship / accountability,,,doc-dcms-framework-index,DCMS is the sponsor department within the relevant framework architecture; institution-specific powers must be read from the individual framework and upstream law.,verified at family level; institution detail pending/partly researched
rel-dcms-science-museum-sponsor,dcms,science-museum,sponsorship / accountability,,,doc-dcms-framework-index,DCMS is the sponsor department within the relevant framework architecture; institution-specific powers must be read from the individual framework and upstream law.,verified at family level; institution detail pending/partly researched
rel-dcms-soane-sponsor,dcms,soane,sponsorship / accountability,,,doc-dcms-framework-index,DCMS is the sponsor department within the relevant framework architecture; institution-specific powers must be read from the individual framework and upstream law.,verified at family level; institution detail pending/partly researched
rel-dcms-tate-sponsor,dcms,tate,sponsorship / accountability,,,doc-dcms-framework-index,DCMS is the sponsor department within the relevant framework architecture; institution-specific powers must be read from the individual framework and upstream law.,verified at family level; institution detail pending/partly researched
rel-dcms-va-sponsor,dcms,va,sponsorship / accountability,,,doc-dcms-framework-index,DCMS is the sponsor department within the relevant framework architecture; institution-specific powers must be read from the individual framework and upstream law.,verified at family level; institution detail pending/partly researched
rel-dcms-wallace-sponsor,dcms,wallace,sponsorship / accountability,,,doc-dcms-framework-index,DCMS is the sponsor department within the relevant framework architecture; institution-specific powers must be read from the individual framework and upstream law.,verified at family level; institution detail pending/partly researched
rel-parliament-publicbodies-spending,uk-parliament,dcms,Supply / delegated spending authority,,,doc-dcms-ara-2024-25,DCMS states that Grant-in-Aid public bodies have delegated spending-authority limits approved by Parliament.,verified
rel-hmt-dcms-publicbodies,hm-treasury,dcms,spending control / approval,,,doc-dcms-ara-2024-25,"Spending above delegated limits, and novel/contentious/repercussive spending within them, requires HM Treasury approval via DCMS Finance.",verified
rel-dcms-publicbodies-monitoring,dcms,ace,financial monitoring,,,doc-dcms-ara-2024-25;doc-ace-framework,DCMS monitors public-body financial forecasts and compliance with delegated limits; ACE framework sets its specific governance relationship.,verified
rel-dcms-bfi-framework,dcms,bfi,sponsorship / accountability,,,doc-bfi-framework,BFI framework defines DCMS as Sponsor and BFI as ALB/NDPB/Freedom Body; framework itself conveys no legal powers.,verified
rel-dcms-he-framework,dcms,historic-england,sponsorship / accountability,,,doc-he-framework,Framework sets governance/accountability and financial relationship and is Treasury-approved.,verified
