area,authority,status,region,covered_authorities,settlement,scrutiny,culture_route,source_ids
Greater London,Greater London Authority,integrated,London,City of London + 32 London boroughs,"First Greater London Authority Integrated Settlement from 2026/27. The Mayoral Decision records just over £500m per year and over £1.7bn across 2026/27–2028/29, approximately 25% capital and 75% revenue. The settlement consolidates previously separate streams across housing, regeneration, skills, community integration and local economic growth.","The Mayor approved acceptance of the settlement and the Outcomes Framework. Senior Responsible Owners for funded strategic programmes receive delegated authority to incur expenditure under the pre-existing delegations for those programmes. The Greater London Authority must report through six-monthly Ministry of Housing, Communities and Local Government Integrated Settlement Programme Boards; use of settlement flexibilities is also reported there. London Assembly scrutiny remains constitutionally distinct from combined-authority scrutiny.",The published settlement description does not make the whole Integrated Settlement a cultural budget. Culture-specific Greater London Authority programmes and borough cultural expenditure must be traced separately rather than inferred from the £1.7bn headline.,GLA-MD3486;MHCLG-OF-2026
Greater Manchester,Greater Manchester Combined Authority,integrated,North West,Bolton; Bury; Manchester; Oldham; Rochdale; Salford; Stockport; Tameside; Trafford; Wigan,Integrated Settlement. Predecessor Culture Investment budget £4.425m/year for 2023–26; 2026–29 machinery requires annual budget approval.,Overview & Scrutiny has specified call-in and information/attendance powers; individual decisions can be excluded.,Named culture portfolio machinery exists; team FTE and administration cost remain evidence gaps.,GM1;GM2;GM3
Liverpool City Region,Liverpool City Region Combined Authority,integrated,North West,Halton; Knowsley; Liverpool; Sefton; St Helens; Wirral,"Integrated Settlement. Pilot totals: £352.456214m (2026/27), £373.576864m (2027/28), £438.984783m (2028/29), £378.529929m (2029/30).","Pilot rules: 10 scrutiny members can call in a mayoral/Combined Authority decision within five working days, subject to exclusions.",Creative Places Growth Fund is separately identifiable; component rows appear below only when Liverpool is selected.,LCR1;LCR2;LCR3
North East,North East Combined Authority,integrated,North East,County Durham; Gateshead; Newcastle upon Tyne; North Tyneside; Northumberland; South Tyneside; Sunderland,"Integrated Settlement provisional total: £419,147,046 (2026/27), £451,315,691 (2027/28), £549,554,368 (2028/29), £450,067,473 (2029/30). Revenue figures are set through 2028/29 and capital through 2029/30; some component figures remain outstanding.",Integrated Settlement spending is managed under the North East Combined Authority Single Assurance Framework. Cabinet or delegated approval is required where project/programme investment exceeds normal delegated limits. Government additionally requires six-monthly Integrated Settlement Programme Boards.,"Creative Places Growth Fund (Department for Culture, Media and Sport): 2026/27 £4.915m revenue + £3.333333m capital; 2027/28 £4.966667m revenue + £3.333333m capital; 2028/29 £4.941667m revenue + £3.333333m capital. This is a specific cultural/creative stream inside the wider settlement, not the whole settlement.",NE-IS-2026;NE-CAB-2025;NE-OF-2026
South Yorkshire,South Yorkshire Mayoral Combined Authority,integrated,Yorkshire and the Humber,Barnsley; Doncaster; Rotherham; Sheffield,"Integrated Settlement provisional total: £278,896,326 (2026/27), £319,855,677 (2027/28), £392,768,530 (2028/29), £359,365,632 (2029/30). Revenue figures are set through 2028/29 and capital through 2029/30; some component figures remain outstanding.","South Yorkshire's 2026 readiness assessment found established, documented governance and escalation routes, while identifying continuing work on governance, delegations, assurance pathways, integrated risk/performance/financial reporting, budgeting, forecasting and financial controls. Programme-specific scrutiny powers still require constitutional extraction.",No Creative Places Growth Fund row appears in the published South Yorkshire Integrated Settlement table. SIDONIE therefore does not infer a culture-specific allocation from the headline settlement. Cultural funding must be traced through other programmes/accounts where evidenced.,SY-IS-2026;SY-READINESS-2026;SY-CORP-2025
West Yorkshire,West Yorkshire Combined Authority,integrated,Yorkshire and the Humber,Bradford; Calderdale; Kirklees; Leeds; Wakefield,Integrated Settlement. Pilot provisional totals: £468.260868m; £512.895452m; £600.027772m; £529.608258m for 2026/27–2029/30.,"Cross-party scrutiny can call in/delay decisions, require attendance/information and recommend; it cannot itself make the authority's decisions.",Creative Places Growth Fund and You Can Make It Here 2 are separately evidenced.,WY1;WY2;WY3
West Midlands,West Midlands Combined Authority,integrated,West Midlands,Birmingham; Coventry; Dudley; Sandwell; Solihull; Walsall; Wolverhampton,Integrated Settlement; official annual fund table is the source of record.,Local Scrutiny Committee operating in 2026; exact powers read with the 2026 Act and constitution.,"WM Collaborator Fund: £2.95m Integrated Settlement revenue via Creative Places Growth Fund, Sep 2026–Mar 2029.",WM1;WM2
Cambridgeshire and Peterborough,Cambridgeshire and Peterborough Combined Authority,mayoral,East of England,Cambridgeshire County Council; Peterborough; Cambridge; East Cambridgeshire; Fenland; Huntingdonshire; South Cambridgeshire,Mayoral Strategic Authority; no Integrated Settlement in 2026/27. Separate devolved grants/programmes apply.,Authority-specific scrutiny detail queued.,Culture-specific route not yet reconciled.,DEV-FACT
East Midlands,East Midlands Combined County Authority,mayoral,East Midlands,Derby; Derbyshire; Nottingham; Nottinghamshire,Mayoral Strategic Authority; no Integrated Settlement in 2026/27. Separate devolved grants/programmes apply.,Authority-specific scrutiny detail queued.,Culture-specific route not yet reconciled.,DEV-FACT
Greater Lincolnshire,Greater Lincolnshire Combined County Authority,mayoral,East Midlands,Lincolnshire; North Lincolnshire; North East Lincolnshire,Mayoral Strategic Authority; no Integrated Settlement in 2026/27. Separate devolved grants/programmes apply.,Authority-specific scrutiny detail queued.,Culture-specific route not yet reconciled.,DEV-FACT
